Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Paper.Notes,WoS.Search,Google.Scholar,Partial.database,Original.Source_Publication.Year,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,Order,Common.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Current.Parent,Regional.Threat.Status,IUCN.Status.Current_SUB,Threat_Status_SUB,Latitude,Longitude,Wild.Managed.Captive,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,Clutch.Size.BoW,Clutch.Size.NZBO,Av.Clutch.Size,Av.Clutch.Size.Mean,Cooney2020_log.Clutch.Size,Cooney2020_10^.Clutch.Size,Nest.Clutch.no,Eggs.no,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.Clutch.Size,Egg.BoW.Clutch.Size,Total,Cases,Proportion,Standardised.Hatching.Success.Definition,Standardised.Hatchability.Definition,Other.Definition,Calculations.Estimations_HatchingFailure,Calculations.Estimations_TotalEggs,TotalEggs_Summary
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (51),Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Pratt et al. (1997),YES,NO,YES,1997,YES,NO,1989,1993,Passeriformes,Palila,Loxioides_bailleui,Loxioides_bailleui,NA,,CR,Threatened,19.8210540,-155.4678790,Wild,Natural,No,No,39,61,0.00,0.00,,,2,2,0.301029996,2,NA,536,NA,NA,NA,NA,536,326.96,0.61,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,Total eggs calculated from Table 1 in original source,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (55),Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Koenig (1982),YES,NO,YES,1982,YES,NO,1975,1981,Piciformes,Acorn Woodpecker,Melanerpes_formicivorus,Melanerpes_formicivorus,NA,,LC,Non-threatened,36.3791090,-121.5628700,Wild,Natural,No,No,14.1,85.9,0.00,0.00,,,NA,NA,0.694824484,4.9525,83,377,NA,411.0575,NA,NA,377,323.843,0.859,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,NA,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (71),Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Broekhuysen (1959),YES,NO,YES,1959,YES,NO,1954,1957,Passeriformes,Cape Sugarbird,Promerops_cafer,Promerops_cafer,NA,,LC,Non-threatened,-33.9249000,18.4241000,Wild,Natural,No,No,0,100,0.00,0.00,,,2,2,0.3152704,2.0666665,21,41,42,43.3999965,NA,NA,41,41,1,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,NA,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (76) - corrected,Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Post et al. (1996) - now on BoW online -> HS% details in Bancroft (1986),YES,NO,YES,1986,YES,NO,1978,1981,Passeriformes,Boat-tailed Grackle,Quiscalus_major,Quiscalus_major,NA,,LC,Non-threatened,27.6648000,-81.5158000,Wild,Natural,No,No,9.2,90.8,0.00,0.00,,,2.64,2.64,0.476034159,2.9925,NA,1261,NA,NA,NA,NA,1261,1144.988,0.908,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,Correct HS% taken from abstract (calculated from Table 4) in original source,Total eggs calculated from Table in original source,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (81),Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Holmes et al. (1992),YES,NO,YES,1992,YES,NO,1986,1989,Passeriformes,Black-throated Blue Warbler,Setophaga_caerulescens,Dendroica_caerulescens,NA,,LC,Non-threatened,43.9370310,-71.7458940,Wild,Natural,No,No,7.4,92.6,0.00,0.00,,,3.8 ± 0.4,3.8,0.596597096,3.95,NA,399,NA,NA,NA,NA,399,369.474,0.926,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,Total eggs calculated from original source text,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (82),Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Moorman et al. (2002),YES,NO,YES,2002,YES,NO,1996,1998,Passeriformes,Hooded Warbler,Setophaga_citrina,Wilsonia_citrina,NA,,LC,Non-threatened,33.1500000,-81.6666670,Wild,Natural,No,No,9,91,0.00,0.00,,,3.2 ± 0.1,3.2,0.566732029,3.6875,NA,120,NA,NA,NA,NA,120,109.2,0.91,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,NA,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (84),Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Fair & Myers (2002),YES,NO,YES,2002,YES,NO,1997,1999,Passeriformes,Western Bluebird,Sialia_mexicana,Sialia_mexicana,NA,,LC,Non-threatened,35.8440840,-106.2871410,Wild managed,Natural,Yes,No,29.5,70.5,2.90,NA,,,"4.6 ± 1.1, 4.27 ± 1.4, 4.5 ± 1.0",4.456666667,0.699187097,5.0025,NA,168,NA,NA,NA,NA,168,118.44,0.705,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,NA,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (86) - corrected,Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Colwell & Jehl (1994) - now on BoW online -> HS% details in Colwell & Oring (1988),YES,NO,YES,1988,YES,NO,1982,1987,Charadriiformes,Wilson's Phalarope,Steganopus_tricolor,Steganopus_tricolor,NA,,LC,Non-threatened,51.1666670,-110.0333330,Wild,Natural,No,No,1.002506266,98.99749373,0.00,0.00,,,3.8,3.8,NA,NA,120,399,456,NA,NA,NA,399,395,0.989974937,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,Correct HS% calculated from Tables 2 and 3 in original source,Total eggs calculated from Tables 2 and 3 in original source,Actual total
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (97),Genetic similarity and hatching success in birds,Proceedings of the Royal Society B - Biological Sciences,Original source = Martín-Vivaldi et al. (1999),YES,NO,YES,1999,YES,NO,1991,1995,Bucerotiformes,Common Hoopoe/European Hoopoe,Upupa_epops,Upupa_epops,NA,,LC,Non-threatened,37.1773000,-3.5986000,Wild,Natural,No,No,8,92,NA,13.00,,,6.59 ± 1.25,6.59,0.739044641,5.48333325,66,NA,434.94,361.8999945,NA,NA,434.94,400.1448,0.92,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2 in original source,Estimated from study mean
2012,Stager et al. 2012,Stager et al. 2012,"Reproductive biology of a narrowly endemic Tachycineta swallow in dry, seasonal forest in coastal Peru",Ornitologia Neotropical,Found in Wilson (2019) Table 4,NO,NO,NO,2012,YES,NO,2010,2011,Passeriformes,Tumbes Swallow,Tachycineta_stolzmanni,Tachycineta_stolzmanni,NA,,LC,Non-threatened,-6.4833330,-79.7666670,Wild managed,Natural,Yes,No,7.89,92.11,0.00,0.00,,,2.68 ± 0.10,2.68,NA,NA,29,76,77.72,NA,NA,NA,76,70.0036,0.9211,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,NA,Actual total
2009,Stebbins et al. 2009,Stebbins et al. 2009 (01),A nonlethal microsampling technique to monitor the effects of mercury on wild bird eggs,Environmental Toxicology and Chemistry,NA,YES,NO,NO,2009,YES,YES,2007,2007,Charadriiformes,Black-necked Stilt,Himantopus_himantopus,Himantopus_himantopus,NA,,LC,Non-threatened,37.4946230,-122.0735180,Wild,Natural,No,No,3.571428571,96.42857143,0.00,0.00,,,NA,NA,0.593286067,3.92,14,28,NA,NA,NA,NA,28,27,0.964285714,Not stated,Not stated,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2009,Stebbins et al. 2009,Stebbins et al. 2009 (02),A nonlethal microsampling technique to monitor the effects of mercury on wild bird eggs,Environmental Toxicology and Chemistry,NA,YES,NO,NO,2009,YES,YES,2007,2007,Charadriiformes,Laughing Gull,Larus_atricilla,Larus_atricilla,NA,,LC,Non-threatened,37.9332000,75.3788000,Wild,Natural,No,No,4.166666667,95.83333333,0.00,0.00,,,NA,NA,0.400537989,2.515,12,24,NA,NA,NA,NA,24,23,0.958333333,Not stated,Not stated,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2013,Stewart & Westneat 2013,Stewart & Westneat 2013,Patterns of hatching failure in the house sparrow Passer domesticus,Journal of Avian Biology,NA,YES,NO,YES,2013,YES,YES,1995,2009,Passeriformes,House Sparrow,Passer_domesticus,Passer_domesticus,NA,,LC,Non-threatened,38.1000000,-84.4833330,Wild managed,Natural,Yes,No,10.06475985,89.93524015,0.00,0.00,,,4.86671044,4.86671044,0.640150041,4.366666667,1523,7412,7412,6650.433333,NA,NA,7412,6666,0.899352402,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,Exact HS% calculated from text,NA,Actual total
2008,Stiver et al. 2008,Stiver et al. 2008,Polygyny and female breeding failure reduce effective population size in the lekking Gunnison sage-grouse,Biological Conservation,Also in Heber & Briskie (2010),YES,NO,YES,2008,YES,YES,2003,2004,Galliformes,Gunnison Grouse/Gunnison Sage-Grouse,Centrocercus_minimus,Centrocercus_minimus,NA,,EN,Threatened,38.0000000,-108.0000000,Wild,Natural,No,No,27.65957447,72.34042553,0.00,0.00,,,6.7 ± 0.4,6.7,NA,NA,7,47,46.9,NA,NA,NA,47,34,0.723404255,Percentage/Proportion of eggs that hatched out of total hatched and unhatched eggs present in the nest after brood departure in successful clutches/nests (at least one egg hatched),Not stated,NA,Exact HS% calculated from text,NA,Actual total
2013,Streby et al. 2013,Streby et al. 2013,Radio-transmitters do not affect seasonal productivity of female Golden-winged Warblers,Journal of Field Ornithology,NA,YES,NO,NO,2013,YES,NO,2011,2012,Passeriformes,Golden-winged Warbler,Vermivora_chrysoptera,Vermivora_chrysoptera,NA,,NT,Non-threatened,47.0333330,-95.5833330,Wild,Natural,No,No,0,100,0.00,0.00,,,4.7 ± 0.6,4.7,0.670941281,4.6875,48,NA,225.6,225,NA,NA,225.6,225.6,1,Not stated,NA,NA,HS% calculated from text,Total eggs estimated based on mean clutch size from study and number of clutches calculated from text,Estimated from study mean
2007,Svensson et al. 2007,Svensson et al. 2007 (01),Impaired hatching success and male-biased embryo mortality in Tree Sparrows,Journal of Ornithology,NA,YES,NO,YES,2007,YES,NO,1996,2004,Passeriformes,Eurasian Tree Sparrow/Tree Sparrow,Passer_montanus,Passer_montanus,NA,,LC,Non-threatened,58.9833330,17.9666670,Wild managed,Natural,Yes,No,52.05183585,47.94816415,0.00,0.00,,,4.93 ± 1.29,4.93,0.684620978,4.8375,94,463,463.42,454.725,NA,NA,463,222,0.479481641,Not stated,NA,NA,Exact HS% calculated from text,NA,Actual total
2007,Svensson et al. 2007,Svensson et al. 2007 (02),Impaired hatching success and male-biased embryo mortality in Tree Sparrows,Journal of Ornithology,NA,YES,NO,YES,2007,YES,NO,1996,2004,Passeriformes,Eurasian Tree Sparrow/Tree Sparrow,Passer_montanus,Passer_montanus,NA,,LC,Non-threatened,58.9833330,17.9666670,Wild managed,Natural,Yes,No,34.69387755,65.30612245,0.00,0.00,,,5.44 ± 1.16,5.44,0.684620978,4.8375,135,735,734.4,653.0625,NA,NA,735,480,0.653061224,Not stated,NA,NA,Exact HS% calculated from text,NA,Actual total
2017,Taylor et al. 2017,Taylor et al. 2017 (01),Cryptic inbreeding depression in a growing population of a long-lived species,Molecular Ecology,NA,YES,NO,YES,2017,YES,NO,2011,2013,Struthioniformes,Little Spotted Kiwi,Apteryx_owenii,Apteryx_owenii,NA,,NT,Non-threatened,-41.1025020,174.2986120,Wild,Natural,No,No,65.27586207,34.72413793,NA,NA,,,"1.8 ± 0.1, 1.8 ± 0.3",1.8,0.08278537,1.21,NA,29,NA,NA,NA,NA,29,10.07,0.347241379,"Percentage/Proportion of eggs that hatched [Apparent Hatching Success] AND Mayfield Method (Johnson, 1979)",NA,NA,HS% calculated from supplementary data,Total eggs calculated from supplementary data,Actual total
2017,Taylor et al. 2017,Taylor et al. 2017 (02),Cryptic inbreeding depression in a growing population of a long-lived species,Molecular Ecology,NA,YES,NO,YES,2017,YES,NO,2011,2013,Struthioniformes,Little Spotted Kiwi,Apteryx_owenii,Apteryx_owenii,NA,,NT,Non-threatened,-41.2906360,174.7529690,Wild,Natural,No,No,32.27027027,67.72972973,NA,NA,,,"1.4 ± 0.3, 1.2 ± 0.2",1.3,0.08278537,1.21,NA,37,NA,NA,NA,NA,37,25.06,0.677297297,"Percentage/Proportion of eggs that hatched [Apparent Hatching Success] AND Mayfield Method (Johnson, 1979)",NA,NA,HS% calculated from supplementary data,Total eggs calculated from supplementary data,Actual total
2015,Thompson et al. 2015,Thompson et al. 2015,Captive rearing sage-grouse for augmentation of surrogate wild broods: Evidence for success,The Journal of Wildlife Management,NA,YES,NO,NO,2015,YES,YES,2004,2007,Galliformes,Sage Grouse/Greater Sage-grouse,Centrocercus_urophasianus,Centrocercus_urophasianus,NA,,NT,Non-threatened,40.1718150,-107.8596050,Wild managed,Artificial,No,No,25.5,74.5,2.20,NA,,,NA,NA,0.866730271,7.3575,NA,304,NA,NA,NA,NA,304,226.48,0.745,Not stated,Not stated,NA,NA,NA,Actual total
2018,Thongcharoen et al. 2018,Thongcharoen et al. 2018,"Determination of heavy metals in eggs of Little Grebe (Tachybaptus ruficollis) around the wastewater treatment ponds, Khon Kaen University",Human and Ecological Risk Assessment,NA,YES,NO,NO,2018,YES,YES,2016,2017,Podicipediformes,Little Grebe,Tachybaptus_ruficollis,Tachybaptus_ruficollis,NA,,LC,Non-threatened,16.4500000,102.8000000,Wild,Natural,No,No,3.3,96.7,0.00,0.00,,,3.238095238,3.238095238,0.679730646,4.783333333,15,NA,48.57142857,71.75,NA,NA,48.57142857,46.96857143,0.967,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2015,Tobolka et al. 2015,Tobolka et al. 2015,The effect of extreme weather events on breeding parameters of the White Stork Ciconia ciconia,Bird Study,NA,YES,NO,NO,2015,YES,NO,1974,2013,Ciconiiformes,White Stork,Ciconia_ciconia,Ciconia_ciconia,NA,,LC,Non-threatened,51.8500000,16.5833330,Wild,Natural,No,No,11,89,0.00,0.00,,,4.30 ± 0.73,4.3,0.57595717,3.7666665,239,NA,1027.7,900.2332935,NA,NA,1027.7,914.653,0.89,Percentage/Proportion of eggs that hatched,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2012,Tomas et al. 2012,Tomas et al. 2012 (01),Clutch size and egg volume in great tits (Parus major) increase under low intensity electromagnetic fields: A long-term field study,Environmental Research,NA,YES,NO,NO,2012,YES,NO,1993,2001,Passeriformes,Great Tit,Parus_major,Parus_major,NA,,LC,Non-threatened,39.7000000,-0.2500000,Wild managed,Natural,Yes,No,13.54,86.46,2.46,NA,,,8.09 ± 0.19,8.09,0.927498682,8.4625,48,NA,388.32,406.2,NA,NA,388.32,335.741472,0.8646,Percentage/Proportion of eggs that hatched relative to clutch size,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2012,Tomas et al. 2012,Tomas et al. 2012 (02),Clutch size and egg volume in great tits (Parus major) increase under low intensity electromagnetic fields: A long-term field study,Environmental Research,NA,YES,NO,NO,2012,YES,NO,1993,2001,Passeriformes,Great Tit,Parus_major,Parus_major,NA,,LC,Non-threatened,39.7000000,-0.2500000,Wild managed,Natural,Yes,No,11.04,88.96,1.73,NA,,,7.54 ± 0.13,7.54,0.927498682,8.4625,101,NA,761.54,854.7125,NA,NA,761.54,677.465984,0.8896,Percentage/Proportion of eggs that hatched relative to clutch size,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2005,Toschik et al. 2005,Toschik et al. 2005,"Effects of contaminant exposure on reproductive success of ospreys (Pandion haliaetus) nesting in Delaware River and Bay, USA",Environmental Toxicology and Chemistry,NA,YES,NO,NO,2005,YES,YES,2002,2002,Accipitriformes,Osprey,Pandion_haliaetus,Pandion_haliaetus,NA,,LC,Non-threatened,39.1248260,-75.2485240,Wild,Natural,No,No,7.8125,92.1875,0.00,0.00,,,3.1875,3.1875,0.469003348,2.944444333,NA,64,NA,NA,NA,NA,64,59,0.921875,Not stated,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2007,Tuero et al. 2007,Tuero et al. 2007 (01),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,NA,YES,NO,NO,2007,YES,NO,2003,2006,Passeriformes,House Wren,Troglodytes_aedon,Troglodytes_aedon,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild managed,Natural,Yes,No,0,100,0.00,NA,,,5.2 ± 0.1,5.2,0.798132497,6.2825,5,15,NA,NA,NA,NA,15,15,1,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs calculated from text,Actual total
2007,Tuero et al. 2007,Tuero et al. 2007 (02),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,NA,YES,NO,NO,2007,YES,NO,2003,2006,Passeriformes,House Wren,Troglodytes_aedon,Troglodytes_aedon,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild managed,Natural,Yes,No,0,100,0.00,NA,,,5.2 ± 0.1,5.2,0.798132497,6.2825,5,15,NA,NA,NA,NA,15,15,1,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs calculated from text,Actual total
2007,Tuero et al. 2007,Tuero et al. 2007 (03),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,NA,YES,NO,NO,2007,YES,NO,2003,2006,Passeriformes,House Wren,Troglodytes_aedon,Troglodytes_aedon,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild managed,Natural,Yes,No,27,73,11.00,NA,,,5.2 ± 0.1,5.2,0.798132497,6.2825,6,30,NA,NA,NA,NA,30,21.9,0.73,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs calculated from text,Actual total
2007,Tuero et al. 2007,Tuero et al. 2007 (04),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,NA,YES,NO,NO,2007,YES,NO,2003,2006,Passeriformes,House Wren,Troglodytes_aedon,Troglodytes_aedon,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild managed,Natural,Yes,No,3,97,3.00,NA,,,5.2 ± 0.1,5.2,0.798132497,6.2825,6,30,NA,NA,NA,NA,30,29.1,0.97,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs calculated from text,Actual total
2010,Urbanek et al. 2010,Urbanek et al. 2010,Nest desertion in a reintroduced population of migratory whooping cranes,Proceedings of the North American Crane Workshop,NA,NO,NO,NO,2010,NO,NO,2005,2008,Gruiformes,Whooping Crane,Grus_americana,Grus_americana,NA,,EN,Threatened,44.0666670,-90.1666670,Wild,Natural,No,No,41.66666667,58.33333333,0.00,0.00,,,1-2 eggs,1.5,0.29666519,1.98,9,12,13.5,17.82,NA,NA,12,7,0.583333333,NA,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2010,Uzun et al. 2010,Uzun et al. 2010,The effect of clutch size on egg and hatchling mass and measurements in the Common Coot Fulica atra,Ekoloji,NA,YES,NO,NO,2010,YES (keywords only),NO,2008,2008,Gruiformes,Common Coot/Eurasian Coot,Fulica_atra,Fulica_atra,NA,,LC,Non-threatened,40.8333330,30.4666670,Wild,Natural,No,No,8.474576271,91.52542373,0.00,0.00,,,6.6 ± 0.34,6.6,0.874336835,7.4875,NA,59,NA,NA,NA,NA,59,54,0.915254237,Not stated,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2020,Van De Loock et al. 2020,Van De Loock et al. 2020,Flexible nest-site selection under anthropogenic habitat change in an Afrotropical understorey insectivore,Ibis,NA,NO,"""hatching success""",NO,2020,YES,NO,2009,2011,Passeriformes,Placid Greenbul,NA,NA,NA,,NR,NA,-3.3825040,38.3624700,Wild,Natural,No,No,0,100,0.00,0.00,,,1-3 eggs,2,NA,NA,34,NA,68,NA,NA,NA,68,68,1,Probability that at least one egg of a clutch/nest hatches,NA,NA,HS% calculated from text,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2016,van Oosten 2016,van Oosten 2016 (01),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,Found in van Oosten et al. (2019),NO,NO,NO,2016,YES,NO,2015,2015,Passeriformes,Meadow Pipit,Anthus_pratensis,Anthus_pratensis,NA,,NT,Non-threatened,52.5500000,4.6000000,Wild,Natural,No,No,5,95,NA,11.00,,,3.8 ± 0.7,3.8,0.669781615,4.675,45,NA,171,210.375,NA,NA,171,162.45,0.95,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2016,van Oosten 2016,van Oosten 2016 (02),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,Found in van Oosten et al. (2019),NO,NO,NO,2016,YES,NO,2015,2015,Passeriformes,Meadow Pipit,Anthus_pratensis,Anthus_pratensis,NA,,NT,Non-threatened,52.3333330,4.5000000,Wild,Natural,No,No,3,97,NA,11.00,,,4.1 ± 0.9,4.1,0.669781615,4.675,15,NA,61.5,70.125,NA,NA,61.5,59.655,0.97,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2016,van Oosten 2016,van Oosten 2016 (03),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,Found in van Oosten et al. (2019),NO,NO,NO,2016,YES,NO,2015,2015,Passeriformes,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,NA,,LC,Non-threatened,52.5500000,4.6000000,Wild,Natural,No,No,20,80,NA,7.00,,,5.2 ± 1,5.2,0.751086555,5.6375,13,NA,67.6,73.2875,NA,NA,67.6,54.08,0.8,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2016,van Oosten 2016,van Oosten 2016 (04),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,Found in van Oosten et al. (2019),NO,NO,NO,2016,YES,NO,2015,2015,Passeriformes,Common Stonechat,Saxicola_torquatus,Saxicola_torquatus,NA,,LC,Non-threatened,52.5500000,4.6000000,Wild,Natural,No,No,5,95,NA,11.00,,,5.4 ± 0.7,5.4,0.712088235,5.153333333,40,NA,216,206.1333333,NA,NA,216,205.2,0.95,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2016,van Oosten 2016,van Oosten 2016 (05),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,Found in van Oosten et al. (2019),NO,NO,NO,2016,YES,NO,2015,2015,Passeriformes,Common Stonechat,Saxicola_torquatus,Saxicola_torquatus,NA,,LC,Non-threatened,52.3333330,4.5000000,Wild,Natural,No,No,9,91,NA,16.00,,,5.5 ± 0.8,5.5,0.712088235,5.153333333,19,NA,104.5,97.91333333,NA,NA,104.5,95.095,0.91,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2019,van Oosten et al. 2019,van Oosten et al. 2019 (01),Hatching failure and accumulation of organic pollutants through the terrestrial food web of a declining songbird in Western Europe,Science of the Total Environment,NA,NO,"""hatching success""",NO,2019,YES,YES,2008,2013,Passeriformes,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,NA,,LC,Non-threatened,52.9166670,6.9166670,Wild,Natural,No,No,20,80,0.00,0.00,,,4.13,4.13,0.751086555,5.6375,105,NA,433.65,591.9375,NA,NA,433.65,346.92,0.8,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2019,van Oosten et al. 2019,van Oosten et al. 2019 (02),Hatching failure and accumulation of organic pollutants through the terrestrial food web of a declining songbird in Western Europe,Science of the Total Environment,NA,NO,"""hatching success""",NO,2019,YES,YES,2008,2013,Passeriformes,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,NA,,LC,Non-threatened,52.5500000,4.6000000,Wild,Natural,No,No,14,86,0.00,0.00,,,4.13,4.13,0.751086555,5.6375,129,NA,532.77,727.2375,NA,NA,532.77,458.1822,0.86,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2019,van Oosten et al. 2019,van Oosten et al. 2019 (03),Hatching failure and accumulation of organic pollutants through the terrestrial food web of a declining songbird in Western Europe,Science of the Total Environment,"Used as reference populations, original source Arlt (unpublished)",NO,"""hatching success""",NO,2019,YES,YES,2008,2013,Passeriformes,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,NA,,LC,Non-threatened,59.8333330,17.8333330,Wild,Natural,No,No,6,94,0.00,0.00,,,4.13,4.13,0.751086555,5.6375,125,NA,516.25,704.6875,NA,NA,516.25,485.275,0.94,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2017,Vedder et al. 2017,Vedder et al. 2017 (01),Intraspecific variation in and environment-dependent resource allocation to embryonic development time in Common Terns,Physiological and Biochemical Zoology,NA,YES,NO,NO,2017,YES,NO,2015,2015,Charadriiformes,Common Tern,Sterna_hirundo,Sterna_hirundo,NA,,LC,Non-threatened,53.6000000,8.1000000,Wild managed,Artificial,No,No,14,86,0.00,0.00,,,2.835164835,2.835164835,0.391155729,2.46125,NA,43,NA,NA,NA,NA,43,36.98,0.86,Not stated,NA,NA,NA,Total eggs calculated from text,Actual total
